segment_id,author_group,work,book,total_tokens,",",.,in,et,ad,cum,;,ex,atque,ut,se,quod,ab,qui,non,caesar,neque,quae,a,de,esse,est,ac,:,eo,his,quam,erat,aut,ne,si,omnibus,sed,castris,eius,omnes,castra,rebus,quibus,per,sibi,quo,causa,loco,eorum,erant,eum,caesaris,haec,hoc,id,milites,caesarem,etiam,ipse,tamen,sunt,esset,suis,re,eos,ea,quos,hostium,sese,hostes,militum,inter,locum,legiones,qua,rei,res,tempore,magna,die,exercitum,proelio,parte,pro,omnium,ante,posse,partem,naues,suos,iam,oppidum,numero,nostri,sine,ibi,bellum,milia,equites,quorum,posset,ubi,uti,locis,enim,legionibus,ita,possent,omnia,iis,copias,quem,consilio,celeriter,circiter,belli,sua,rem,itaque,nostris,illi,quid,quas,itinere,una,copiis,eodem,nauibus,iubet,propter,galliae,magno,pompeius,flumen,apud,tum,cuius,iter,exercitus,romani,praesidio,oppido,nostros,longius,fines,equitum,contra,omni,uero,diebus,passuum,nam,autem,essent,equitatu,eam,ciuitates,gallia,fere,hominum,ipsi,rerum,tempus,omnem,unum,nihil,aduentu,exercitu,paucis,mittit,armis,legatos,fuga,militibus,quidem,hostibus,post,periculo,hunc,facere,sub,caesare,primum,reliquis,pars,],bello,at,multitudine,habere,animo,ei,consilium,superioribus,populi,summa,duas,iussit,finibus,l.,suo,impetum,cohortes,minus
dbg_book01_ch001,caesar,dbg,1,213,0.1126760563,0.0375586854,0.014084507,0.0234741784,0.0281690141,0.0093896714,0.0046948357,0.0,0.0093896714,0.0,0.0046948357,0.0093896714,0.014084507,0.0093896714,0.0,0.0,0.0,0.0093896714,0.0187793427,0.0046948357,0.0,0.014084507,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0093896714,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0093896714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0,0.0093896714,0.0,0.0046948357,0.0,0.0093896714,0.0046948357,0.0,0.0,0.0,0.0,0.0,0.0093896714,0.0,0.0,0.0046948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0,0.0093896714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093896714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0,0.0093896714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0,0.0046948357,0.0046948357,0.0,0.0046948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046948357,0.0046948357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187793427,0.0,0.0,0.0,0.0,0.0
dbg_book01_ch002,caesar,dbg,1,162,0.0555555556,0.0308641975,0.012345679,0.049382716,0.0,0.012345679,0.0185185185,0.0185185185,0.012345679,0.012345679,0.0061728395,0.0061728395,0.0061728395,0.024691358,0.0,0.0,0.0,0.0,0.0061728395,0.0061728395,0.0061728395,0.0061728395,0.0,0.012345679,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.012345679,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0185185185,0.012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0061728395,0.0,0.0,0.0,0.0,0.0061728395,0.0061728395,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0061728395,0.0061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061728395,0.0,0.0,0.0,0.0,0.012345679
dbg_book01_ch003,caesar,dbg,1,208,0.0625,0.0336538462,0.0336538462,0.0288461538,0.0192307692,0.0048076923,0.0144230769,0.0,0.0,0.0144230769,0.0096153846,0.0096153846,0.0,0.0048076923,0.0048076923,0.0,0.0,0.0048076923,0.0048076923,0.0,0.0144230769,0.0,0.0096153846,0.0048076923,0.0096153846,0.0048076923,0.0096153846,0.0096153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0048076923,0.0096153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0048076923,0.0048076923,0.0,0.0,0.0048076923,0.0,0.0,0.0048076923,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0096153846,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0096153846,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0096153846,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbg_book01_ch004,caesar,dbg,1,103,0.0873786408,0.0388349515,0.0,0.0097087379,0.0194174757,0.0097087379,0.0291262136,0.0194174757,0.0,0.0194174757,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0194174757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0194174757,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0097087379,0.0,0.0097087379,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0194174757,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0097087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbg_book01_ch005,caesar,dbg,1,121,0.0991735537,0.0247933884,0.0082644628,0.0247933884,0.041322314,0.0082644628,0.0165289256,0.0,0.0,0.0165289256,0.0165289256,0.0165289256,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0165289256,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0165289256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0165289256,0.0082644628,0.0,0.0,0.0082644628,0.0,0.0,0.0,0.0082644628,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082644628,0.0,0.0,0.0,0.0,0.0082644628
dbg_book01_ch006,caesar,dbg,1,150,0.0933333333,0.0466666667,0.0066666667,0.02,0.02,0.0,0.0066666667,0.0066666667,0.0066666667,0.0133333333,0.0,0.0133333333,0.0,0.0066666667,0.0066666667,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0066666667,0.0,0.0066666667,0.0066666667,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0066666667,0.0,0.0066666667,0.0066666667,0.02,0.0,0.0,0.0,0.0,0.0,0.0133333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0133333333,0.0,0.0,0.0133333333,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0133333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0133333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066666667,0.0066666667,0.0,0.0,0.0,0.0
dbg_book01_ch007,caesar,dbg,1,186,0.0860215054,0.0268817204,0.0161290323,0.0268817204,0.0268817204,0.0053763441,0.0053763441,0.0,0.0,0.0107526882,0.0053763441,0.0107526882,0.0161290323,0.0107526882,0.0053763441,0.0053763441,0.0053763441,0.0,0.0,0.0053763441,0.0053763441,0.0,0.0,0.0107526882,0.0,0.0,0.0107526882,0.0107526882,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0161290323,0.0,0.0,0.0,0.0,0.0161290323,0.0107526882,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0107526882,0.0053763441,0.0,0.0,0.0,0.0053763441,0.0053763441,0.0053763441,0.0,0.0,0.0053763441,0.0,0.0053763441,0.0,0.0,0.0,0.0053763441,0.0,0.0053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0161290323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290323,0.0053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107526882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053763441,0.0,0.0,0.0,0.0
dbg_book01_ch008,caesar,dbg,1,147,0.1292517007,0.0272108844,0.0136054422,0.0340136054,0.0136054422,0.0068027211,0.0,0.0068027211,0.0,0.0,0.0136054422,0.0,0.0068027211,0.0204081633,0.0068027211,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0136054422,0.0068027211,0.0,0.0,0.0204081633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204081633,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0068027211,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068027211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbg_book01_ch009,caesar,dbg,1,114,0.0789473684,0.0350877193,0.0087719298,0.0526315789,0.0087719298,0.0087719298,0.0,0.0087719298,0.0,0.0263157895,0.0,0.0087719298,0.0,0.0,0.0175438596,0.0,0.0,0.0,0.0175438596,0.0,0.0,0.0,0.0,0.0087719298,0.0087719298,0.0087719298,0.0087719298,0.0087719298,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0175438596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0087719298,0.0,0.0,0.0087719298,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0087719298,0.0087719298,0.0,0.0,0.0,0.0,0.0087719298,0.0087719298,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087719298,0.0,0.0,0.0
dbg_book01_ch010,caesar,dbg,1,165,0.0727272727,0.0363636364,0.0484848485,0.0303030303,0.0,0.0121212121,0.0121212121,0.0060606061,0.0,0.0060606061,0.0,0.0060606061,0.0121212121,0.0060606061,0.0060606061,0.0,0.0,0.0121212121,0.0060606061,0.0,0.0060606061,0.0121212121,0.0,0.0,0.0,0.0121212121,0.0060606061,0.0060606061,0.0,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606061,0.0,0.0,0.0,0.0060606061,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606061,0.0060606061,0.0,0.0,0.0,0.0,0.0060606061,0.0121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606061,0.0,0.0,0.0,0.0121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121212121,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0,0.0121212121,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606061,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060606061,0.0060606061,0.0,0.0060606061,0.0060606061,0.0,0.0,0.0,0.0060606061,0.0,0.0,0.0,0.0,0.0
dbg_book01_ch011,caesar,dbg,1,138,0.0797101449,0.0362318841,0.0289855072,0.0289855072,0.0144927536,0.0072463768,0.0,0.0,0.0,0.0072463768,0.0217391304,0.0,0.0144927536,0.0072463768,0.0289855072,0.0072463768,0.0,0.0,0.0,0.0072463768,0.0144927536,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0072463768,0.0072463768,0.0144927536,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144927536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0072463768,0.0,0.0072463768,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0144927536,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072463768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbg_book01_ch012,caesar,dbg,1,191,0.0628272251,0.0418848168,0.0261780105,0.0157068063,0.0052356021,0.0104712042,0.0104712042,0.0,0.0052356021,0.0052356021,0.0,0.0104712042,0.0,0.0,0.0104712042,0.0104712042,0.0,0.0104712042,0.0,0.0052356021,0.0052356021,0.0209424084,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0052356021,0.0104712042,0.0,0.0,0.0,0.0,0.0104712042,0.0,0.0052356021,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0104712042,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0052356021,0.0052356021,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0209424084,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0052356021,0.0104712042,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0,0.0209424084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0052356021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157068063,0.0,0.0,0.0,0.0
dbg_book01_ch013,caesar,dbg,1,179,0.061452514,0.0335195531,0.0111731844,0.0167597765,0.0055865922,0.0223463687,0.0111731844,0.0055865922,0.0167597765,0.0223463687,0.0055865922,0.0111731844,0.0,0.0111731844,0.0055865922,0.0055865922,0.0,0.0,0.0055865922,0.0,0.0055865922,0.0,0.0,0.0055865922,0.0,0.0,0.0055865922,0.0,0.0223463687,0.0111731844,0.0055865922,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0055865922,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0111731844,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0055865922,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0055865922,0.0111731844,0.0,0.0,0.0,0.0,0.0167597765,0.0055865922,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111731844,0.0,0.0,0.0055865922,0.0,0.0055865922,0.0111731844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0111731844,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0055865922,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055865922,0.0,0.0,0.0,0.0,0.0111731844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111731844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbg_book01_ch014,caesar,dbg,1,222,0.0990990991,0.027027027,0.0,0.009009009,0.0,0.009009009,0.0135135135,0.0045045045,0.0045045045,0.0,0.009009009,0.036036036,0.0045045045,0.0045045045,0.009009009,0.0045045045,0.009009009,0.0045045045,0.009009009,0.0045045045,0.0135135135,0.0,0.0,0.009009009,0.018018018,0.009009009,0.0,0.0,0.0,0.0,0.0225225225,0.0,0.0045045045,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.009009009,0.0135135135,0.009009009,0.0045045045,0.0,0.009009009,0.0,0.0,0.0,0.0,0.0045045045,0.0,0.0,0.0,0.0045045045,0.0,0.0045045045,0.0,0.0,0.0045045045,0.0,0.0,0.009009009,0.0045045045,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045,0.0,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009,0.0,0.0045045045,0.0,0.0135135135,0.0,0.0,0.009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.009009009,0.0,0.0,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009
